OrganizationID,Organization(s) / Community(ies),Organization Type,Org. City
87,Morris Area Elementary School Cyrus Math; Science and Technology School; Sara Lam School (China),Education,Cyrus
88,Pope Soil and Water Conservation District Students in Service AmeriCorps,Government,Glenwood
89,Kandiyohi and Renville County Public Health ,Government,Willmar
90,CAP U of M Center for Urban and Rural Affairs Stevens County Economic Improvement Comission Inc.,Education,Morris
91,Wheaton Community Members,,Wheaton 
92,Clean Up the River Environment Students in Service Americorps,Education,
93,Blandin Foundation U of M Crockston,Education,
94,Minnesota Valley History Learning Center,Non-Profit,Morris
95,Morris Area Child Care Center Steven County Economic Improvement Commission,Government,Morris
96,Minnesota Association Of Small Cities Minnesota Public Radio West Central Regional Development Partnership,,Morris 
97,Prairie Renaissance Cultural Alliance,Education,Morris
98,Region Five Development Commission Students in Service AmeriCorps,Rural Development,Staples
99,St. Mary's School Students in Service AmeriCorps,Education ,Morris
100,Someplace Safe Thrift Store,Non-Profit,Morris
101,Midwest Assistanship Program,Educaiton,Morris
102,South West Regional Sustainable Development Partnership Willmar Co-Op Grocery,Non-Profit,Willmar
103,Swift County,Government ,Appleton
104,Community Assistanceship Program Health Care Purchasing Alliance Extension,Education ,Morris 
105,Todd Wadena and Morrison Public Health,Government,
106,Stevens Forward!,Non-Profit,Morris
107,Upper MN Watershed,Environmental ,
108,Upper Sioux Community Students in Service AmeriCorps,Government,Granite Falls
109,GreenCorps,Environmental,Morris
110,West Central Minnesota Communities Action Inc.,,
111,LDMarketing Willmar COG Students in Service AmeriCorps U of M West Central Partnership ,Education,Willmar
112,Winsted Arts Council Southwest Minnesota & Humanities Council,Non-Profit,Winsted
113,Healthy Community Healthy YoutH,Education,Morris
