projectID,Project Status,Project Title,Project Start Date,Project End Date,Project Intensity,Description: ,Funding Type,Contract Status,Link to Project Folder,Project Synopsis Link,Methodology,Link to Digital Well ( Digital Copy?),Location on shelves (Paper Copy?),Non-public Report Link
11,Completed Project,Becker Clay Wilkin and Otter Tail Health Assessment (Part 1),2013-06-01,2014-03-31,High,This project worked together to compile volumes of publicly available health data for Clay Becker Otter Tail and Wilkin counties and present the information in a comprehensive and concise report which will be used by the County Health Boards to prioritize health issues and initiatives.,External Sale,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YLWlTSEFZVlZleFE,,Data Analysis and Research,https://docs.google.com/a/morris.umn.edu/file/d/0B7Z3bhMR5s9YWC1pckxPczBSdU0/edit,,
12,Completed Project,PrimeWest Health-Provider Services Satisfaction Survey,2013-06-01,2014-04-30,Medium,"The Center for Small Towns assisted Primewest Health's - Provider Services Department design, implement, and analyze a satisfaction survey assessing utilization and satisfaction with various communication tools and services. The results from this survey will be utilized by PrimeWest Health to make improvements and focus initiatives in the coming year.
",External Sale,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9Yd0pfRmpiT3dXM2s,,Data Analysis and Research,,,https://drive.google.com/a/morris.umn.edu/?usp=sheets_web#folders/0B14UrYEk1sV6OHVVNjdQTElwNVE
13,Completed Project,Childrens First Finance - Morris Child Care Survey,2014-01-01,2014-05-10,Low,Assist the Commission on Women/Children's First Finance in implementing a survey that will gather information about the state of child care need and interest in the city of Morris.,Bremer,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YZThKUm5aRUJxY2s,,Data Analysis and Research,,,
14,Completed Project,Roger Rose - Citizen Volunteerism for Local Government Survey,2013-09-02,2014-05-31,Medium,This project is part of larger research program that seeks to examine how volunteering for city-county government can help “fill the gap” in services created by recent budget shortfalls and changes in populations demographics. CST will implement a survey developed by Dr. Rose that will measure citizens capacity and willingness to volunteer for certain local government services in three select communities of varying size.,"Bremer, FREF",Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6UzVQbnRSWlhrV2c,,Data Analysis and Research,,,
15,Completed Project,Convening: State of Water in WC MN,2013-09-01,2014-06-01,Low,"The Center for Small Towns and Office of Sustainability are joining up to organize a forum on ""The State of West Central Minnesota's Water."" The purpose of the project is to bring together a group of experts relating to various aspects of our water (rivers, lakes, drinking water, agriculture, municipal water, etc...), and present their agency's knowledge about the various issues in our region.","IonE grant, Bremer grant",Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B29xQEiGC5QTdjdIZmxBODhPUHM,,"Data Analysis and Research, Convening",,,
16,Completed Project,Cold-Climate Strawberry Farming e-learning Module,2013-06-01,2014-06-30,High,This project implemented and analyzed a survey of potential strawberry growers which informed an online teaching module to assist farmers in growing cold-climate strawberries. To further inform these online learning modules the students conducted focus groups at two regional fruit and vegetable growing conferences.,Walmart Grant,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6R1BfVGZUZWYyN0U,,Data Analysis and Research ,,,https://www.inkling.com/store/book/cold-climate-strawberry-farming-1st/
17,Completed Project,"2014 Symposium on Small Towns - Understand Rural Migration: Myths, Trends, and Opportunities Exposed",2014-01-01,2014-06-30,High,"The Symposium, titled ""Understanding Rural Migration: Myths, Trends and Opportunities Exposed"", explored rural migration and the rural narrative.",CST,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6cG1KbmhEeXR1Nmc,,Convening,,,
18,Completed Project,SWRSDP - Fairmont Social Marketing,2014-05-15,2014-08-22,Low,Student will assist Fairmont in promoting summere eventsi n the region using social media tools.,ISO,Completed,,,Community Support,,,
19,Completed Project,Ecobus Lab,2014-05-13,2014-08-26,Low,A student will be working with the Ecobus in Jackson County to develop an education installation on the importance of bees.,CSC with Bremer,Completed,,,Community Support,,,
20,Completed Project,Hoffman EDA - Farmers Market,2014-05-13,2014-08-26,Low,to assist in promoting and increasing awareness of the farmers market.,Bremer,Completed,,,Community Support,,,
21,Completed Project,Pioneer Public TV - Archiving Historical Footage for 50th Anniversary,2014-05-13,2014-08-26,Low,"In 2015, Pioneer Public TV will be celebrating their 50th anniversary. They will be celebrating this milestone by producing a series of programs highlight stories over the last 50 years. Pioneer successfully applied through the CAP to get funding for a student through CST. The student will be assisting with archiving old footage, and helping the station connect with previously involved members.",CURA - CAP,N/A,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B9Y7pPQckOspYUxOc2dOTS1wTG8,,Community Support,,,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B9Y7pPQckOspYUxOc2dOTS1wTG8
22,Completed Project,City of Morris Sidewalk Assessment,2014-07-01,2014-08-26,Low,A student is working with the City of Morris to conduct a sidewalk assessment. The student will work directly with Blaine Hill to map all city sidwalks and assess their condition. The assessment will help the city determine the connectivity of the sidewalks and plan for future construction.,Cater award,Completed,,,Community Support,,,
23,Completed Project,Community engagement on envasive species in Lake Ida,2014-05-19,2014-08-26,Medium,"A few years ago, CST worked with the Lake Association of Lake Ida to measure the lake's resident's knowledge of invasive species. This project is a follow-up to that report and is intended to begin engaging the residents and recreational users of the lake about how to prevent the spread of invasive species.",CSC with community match,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YSVBTbGRHWVNXejA,,"Data Analysis and Research, Community Support ",,,
24,Completed Project,Highway 68 Corridor Coalition - Transit and Safety Study,2014-01-01,2014-08-31,High,"Gather information relating to transit needs and transportation safety along the highway 68 corridor stretching from Marshall to Canby. The issues will relate to low income workers, students, seniors, and unemployed citizens. Information will be gathered through local, state and federal government agencies, the three transportation service organizations in the region, and through 4 focus groups/community meetings.",Bremer with community match,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6Mm5rNXZ3WjJyRmM,,Data Analysis and Research,,,
25,Completed Project,Becker Clay Wilkin and Otter Tail Health Assessment - Perceptions of Health Analysis (Part 2),2014-04-01,2014-08-31,High,This project worked together to compile volumes of publicly available health data for Clay Becker Otter Tail and Wilkin counties and present the information in a comprehensive and concise report which will be used by the County Health Boards to prioritize health issues and initiatives.,External Sale,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YLWlTSEFZVlZleFE,,Data Analysis and Research,,,
26,Completed Project,Fergus Falls Habitat for Humanity - Impact Survey,2014-05-19,2014-08-31,Medium,"worked with Habitat for Humanity to survey the organization’s homeowners. The project aimed to address
long-term impacts of Habitat homeownership and how it impacted the families
financially, socially, and educationally. ",Bremer with community match,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6SFk2QWs2Vl85TUE,https://docs.google.com/a/morris.umn.edu/document/d/1f04adJcci9cbtl-Ov0EwOb6ca08bLcNY_Lgb51YsroI/edit,Data Analysis and Research,,,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6SFk2QWs2Vl85TUE/0B14UrYEk1sV6ZC05c2d5MWFqUDQ
27,Completed Project,Oscar Baldelomar - Mutual Adaption of Rural Schools and Immigrant Latino Families,2014-06-01,2014-08-31,Low,"The proposed study focuses on how Latino immigrant families and schools adapt to one another in rural Minnesota.  The project will examine the experiences of immigration from multiple perspectives, including Latino parents, Latino and non-Latino students, and school personnel. ",Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6azV1eFVHNHYtWjA,,Data Analysis and Research,,,
28,Completed Project,Steve Burk Group - Predicting student success,2014-06-01,2014-08-31,Low,"This research will examine a broad array of measurement tools to identify individual student characteristics that predict undergraduate success (mainly four year graduation rates). A combination of psychological/cognitive tasks and behavioral economic measures will be measured and used to predict three college outcomes – four-year graduation rates, six-year graduation rates, and final GPA.  

These four UMM professors worked together
to investigate economic behaviors, personality traits, and intellectual
characteristics of students to determine how these are related to overall
academic success of UMM students. ",Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6ZjdRMVp3VkJWbzA,,Data Analysis and Research,,,
29,Completed Project,Local Food Marketing Channel Research,2014-05-19,2014-09-26,Low,Prices of a marketbasket of produce at area farmers markets and grocery stores across West Central Minnesota were gathered throughout the summer of 2015. Prices of each item in the market basket were compared across vendors and grocers and tested for statistically signficant differences. This study found that farmers market prices during peak growing season were highly competitive with regional grocery store prices.,CSC with Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6Qkp6OTFiY0ZvZEU,https://docs.google.com/a/morris.umn.edu/document/d/1F68-7f80VXme2yBqtfI_D0cp-Wn4gJ2dolLe0sXSAx8/edit,Data Analysis and Research,,,https://drive.google.com/open?id=0B14UrYEk1sV6dTlrMWNwVUlOOHM&authuser=1
30,Completed Project,UMM Student Employment Survey,2014-02-01,2014-10-31,High,"Develop, implement and analyze a student survey measuring interest in increasing the cap for on-campus hours worked, where students are currently working, and how many hours they work.",Bremer,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YVzVRSHdkNUVXaUU,,Data Analysis and Research,,,
31,Completed Project,Foxhome Median Household Income Survey,2014-05-15,2014-11-30,High,"The City of Foxhome had a community infrastructure assessment conducted revealing many properties to have septic systems in need of major repair. Regulations are in place forcing homeowners to fix these repairs before a house can be sold, resulting in high repair costs compared to the value of the house. The City decided to explore the installation of a municipal sewer system. Due to the inaccuracy of the American Community Survey, the city asked CST to conduct a median household income survey. This value determines the amount of grant funding the city is eligible for through the USDA Rural Development.",Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B14UrYEk1sV6dmMxZFpreFdheWc,https://docs.google.com/a/morris.umn.edu/document/d/17zEqFj22E_rLlh7sUsKho97MMebkrzgDXtE_laaCySU/edit,Data Analysis and Research,,,https://docs.google.com/a/morris.umn.edu/file/d/0B14UrYEk1sV6a2ItWlRjVGppQlk/edit
32,Completed Project,Morris Mentorship,2014-05-15,2014-12-12,Low,"Jeanne Ennen, a Stevens County Commissioner and Bush Fellow, is developing a mentorship program in Stevens County. A student is helping her develop the network, host events, and initiating relationships to get the program up and running.",CSC,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspUHJUeEV3Qk53RDg,Community Support,,,
33,Completed Project,DSC: Rural CEP - Employment Projection (LFDC Population Change Modeling),2013-09-01,2014-12-31,High,compiled employment and business data for west central Minnesota,"Nick Hinnenkamp, Hannah Knott, Rachel Bohling",,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YOWQ1aWFjVWFWRTg,, https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YOWQ1aWFjVWFWRTg ,,
34,Completed Project,Community Engagement on Climate Change,2014-05-19,2014-12-31,Low,"A student is working with Troy Goodnough on ""taking the community's temperature regarding climate change"". The student will interview and collect information  about various faith and non-faith based organizations to determine their stance, beliefs, and knowledge on climate change. This project is a continuation of the carbon footprint calculator project with Stevens Forward.",Bremer,Completed,,,Community Support,,,
35,Completed Project,Starbuck Chamber of Commerce - Connecting Businesses and Social Media,2014-09-01,2014-12-31,Low,"A student will assist chamber businesses with online marketing, confirming they are appropriately located on online maps, and compiling information about businesses for the Chamber's website.",Bremer,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspT0UwZjZZUmRBX2s,Community Support,,,
36,Completed Project,CST Report Library - Phase 2,2014-09-01,2014-12-31,Medium,The student will develop a library system with which CST's paper reports and resources will be organized.,Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B2vTEH7jUNm9OUt2eTJBc2s4eUE,,,,,
37,Completed Project,WCI - Family Economic Success Program Data Update,2014-01-10,2015-01-31,High,Update data related to family success for West Central Initiative. They will be using this data to determine changes in their FES programming.,External Sale,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B14UrYEk1sV6SmRSUEZOcG85cXM,,Data Analysis and Research,,,https://drive.google.com/open?id=0B14UrYEk1sV6eU9MN25PNElIa28&authuser=1
38,Completed Project,Wendy Emo - Teaching with Storyline: What do the numbers say?,2014-09-01,2015-02-28,Low,"The Storyline method of teaching was first developed by teachers and teacher educators in the mid-1960s. Teachers share this method with each other, and currently Storyline is used in over 22 countries. The research question is: Does the Storyline method of teaching have an effect on student standardized test scores? Wendy wants to utilize the experise by Dr. Engin Sungur and a student at the Data Services Center to explore this relationship using multivariate techniques such as cluster analysis. CST is involved in providing the backend support so that this service can be provided and funded.",FREF,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6Ym1Qd0JIODhaNzQ,,,,,
39,Completed Project,RSDP - Health and Nutrition Survey,2015-03-09,2015-03-13,Low,The Regional Sustainable Development Partnership (RSDP) is working on an AFRI grant with Kansas State University focusing on nutritional health in rural grocery stores. CST is assisting this project by conducting surveys of in-store customers to investigate their opinions and interest in health and nutrition.,Internal Sale,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6RXAzaEU5cFhxdTg,https://docs.google.com/a/morris.umn.edu/document/d/1UnAVhWMv27K3HSEOl9kOwhKWRzruTqN584P8RZsG9Ug/edit,Community Support,,,
40,Completed Project,Grow Grant County - Asset inventory,2014-09-01,2015-03-31,Medium,"CST will assist in developing a framework to compile the different assets of Grant County. This framework will utilize the Community Capitals approach, which splits assets into the following capital frameworks; built, financial, political, social, human, cultural, and natural.","Bremer, CURA CAP",Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6STZsRll6cXY4dUE,https://docs.google.com/a/morris.umn.edu/document/d/13iWOrOZx0hAnAI_rdGGWbqx78ELDKLBpxFJ2WfRKgPI/edit,Community Support,,,
41,Completed Project,Primewest Health - Provider Satisfaction Survey,2014-05-15,2015-03-31,High,"Design, implement and analyze a satisfaction survey for PrimeWest Health's Health Provider Services Unit. The survey will be online and is scheduled to be open late September. Additionally format and analyze Wait Time surveys.",External Sale,Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7Z3bhMR5s9YZGExV2JQdFNTWFE,,Data Analysis and Research,,,https://drive.google.com/drive/#folders/0B7Z3bhMR5s9YUXNSSS1Wc1lITGM/0B7Z3bhMR5s9YZGExV2JQdFNTWFE/0ByrsGIbCNcJGT0JObURqTFFZQ3c
42,Completed Project,Glenwood Retirement Village Promotional Video,2015-01-20,2015-05-10,,"A student assisted with the creation of a promotional video for the Glenwood Retirement Village. The student worked to plan the advertisement, collaborated with another student to film and edit the project, and then released it to the retirement village.",Internal Sale,Completed,,,Community Support,,,
43,Completed Project,MN Politicians and the Rural Narrative,2014-05-15,2015-05-15,Medium,This is a student project led by Jayce Koester who has been interviewing and videotaping various MN legislators (national and state). The purpose of these interviews is to determine their rural narrative by having them describe what they feel are the major rural issues and how they would describe rural areas.,MSAF,Completed,,,Data Analysis and Research,,,
44,Completed Project,Cristina Ortiz - Adapatation of adult Latinos without children,2014-09-01,2015-05-29,Low,"This research will help us better understand how Latino immigrants experience immigration to the rural Midwest and adapt to life in a rural Midwestern community.  Local community stakeholders and service providers have indicated that they do not currently know very much about the Latino population in the Morris area or the needs and desires of new immigrants to the community.  The findings of this research will be integrated with other ongoing research projects to help address some of these gaps in knowledge and inform best practices and policies in the Morris community. For example, findings may influence how local services or resources like adult English education classes are advertised or provided.",Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6VWUwaWthSjdFNDQ,,Brokering,,,
45,Completed Project,New London EDA - Consumer Survey,2014-05-15,2015-05-31,High,CST will conduct a consumer survey of New London's retail market. The survey will focus on shopping habits of the households within the market as well as determining the viability and interest in a cooperative grocery store.,Bremer with community match,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B14UrYEk1sV6STlvdU51MnVNQ3M,https://docs.google.com/a/morris.umn.edu/document/d/1ukf_Hh57j_IQfGhyR4WP0U5anL69KlqXRcUMyIXVQUs/edit,Data Analysis and Research,,,
46,Completed Project,CST - Front Desk,2014-09-01,2015-05-31,Low,Assist CST with various projects.,"Bremer, CST",Completed,,,,,,
47,Completed Project,UMVRDC - Parks and Pools Case Studies,2014-09-01,2015-05-31,Low,Developing a portofilio of examples of how communities both in the region and outside have funded playgroud and pool developments and improvements.,CSC with Bremer and community match,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM,https://docs.google.com/a/morris.umn.edu/document/d/1ZmQQFdBgDxBrXIb2PaOipc8mXGq-HMuSJk7FeVXhQQc/edit,Data Analysis and Research,,,
48,Completed Project,Glenwood Retirement Village Publicity Video,2014-10-13,2015-05-31,High,Prepare and create publicity video for the Glenwood Retirement Village,"Bremer, CST",N/A,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspbjY5aVZ6YkpRaTQ,,Community Support,,,
49,Completed Project,Arne Kildegaard Research - Feasibility of Energy Efficiency Spending of Rural Coops and Municipalities in Minnesota,2014-10-20,2015-05-31,High,"Ricardo Rojas, ’15, Economics and Management, researched the Property Assessed Clean Energy (PACE) financing tool to see if it could be utilized in Morris. This tool allows households to make energy upgrades on their home, giving homeowners 100% financing that is repaid as a property tax assessment for a period up to 20 years.  Ricardo supported Dr. Arne Kildegaard on this project.","Bremer, funded by external sales",N/A,,https://docs.google.com/a/morris.umn.edu/document/d/1IJTTmLSxybiCihZJLak1nmgcyOWDKzXqWkKzJZIuZP0/edit#,Data Analysis and Research,,,
50,Completed Project,Habitat for Humanity Douglas County - Rural Housing Data,2015-01-01,2015-05-31,Medium,"CST will assist with updating Habitat for Humanity's ""Build. Think. Act."" curriculum by providing them with more relevant housing data. This will include researching housing data in rural areas and developing stories and narratives based on this data.",CSC with community match and Bremer,Completed,https://drive.google.com/a/morris.umn.edu/?tab=co#folders/0B7Z3bhMR5s9YNktqajJWeXVLZTQ,https://docs.google.com/a/morris.umn.edu/file/d/0B7Z3bhMR5s9YQy10TGRzMENrRVU/edit,Data Analysis and Research,,,
